"search-number","evaluation","evals-requested-so-far","passenger-number*","airplane-model*","boarding-method*","passenger-with-luggage-percent*","storing-luggage-takes-time*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","24","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""1708523300""","259","259","259","0","259"
"1","25","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""-1942764973""","267","267","267","0","267"
"1","26","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""-1795705915""","260","260","260","0","260"
"1","27","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""-441077106""","261","261","261","0","261"
"1","28","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""847976752""","257","257","257","0","257"
"1","29","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""-885533734""","255","255","255","0","255"
"1","30","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""-1919951385""","262","262","262","0","262"
"1","31","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""-1187387988""","264","264","264","0","264"
"1","32","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""-1807268912""","270","270","270","0","270"
"1","33","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""1761082982""","248","248","248","0","248"
"1","34","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""1831697585""","239","239","239","0","239"
"1","35","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""-874158124""","253","253","253","0","253"
"1","36","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""1624478662""","237","237","237","0","237"
"1","37","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""-287926895""","261","261","261","0","261"
"1","38","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""2062605101""","223","223","223","0","223"
"1","39","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""-754319958""","228","228","228","0","228"
"1","40","500","108","""A320 (30 rows - 180 seats)""","""Modified-optimal-method""","100","true","""1008496230""","263","263","263","0","263"
"1","41","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""-394596568""","256","256","256","0","256"
"1","42","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""-1564862045""","283","283","283","0","283"
"1","43","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""1264514748""","254","254","254","0","254"
"1","44","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""-875847338""","275","275","275","0","275"
"1","45","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""799025283""","277","277","277","0","277"
"1","46","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""1115235469""","251","251","251","0","251"
"1","47","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""-1395115373""","254","254","254","0","254"
"1","48","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""-1788482330""","255","255","255","0","255"
"1","49","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""-75042699""","271","271","271","0","271"
"1","50","500","108","""A320 (30 rows - 180 seats)""","""Steffen""","100","true","""-2012828668""","257","257","257","0","257"
"1","51","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""-1953080740""","250","250","250","0","250"
"1","52","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""-1344441524""","254","254","254","0","254"
